doc_id,text
thuvrlvx,"Try mind mapping. To brainstorm and organize ideas for your project, make a mind map to stimulate new thoughts. Use a plain piece of paper, poster board, or whiteboard for your mind map and write the goal of your project in the middle. Write down related topics, subtopics, and relevant concepts around the goal, and branch out from them to create and follow different tangents.
For instance, if your goal is to “provide a comprehensive account of the history of the fur trade in North America”, subtopics and tangents could include “relations with Natives”, “history of European fashion”, and “the cultural significance of fur”. Discuss things in a group. If you are doing a group project, brainstorming things together will allow each group member to feed off of the ideas of others and gain new insight. Schedule a brainstorming session in a quiet place with few distractions. If you are working on a project on your own, group discussion with friends or colleagues can help you gain a new perspective on the topic you’re covering.  Remember to include everybody in any decision-making. Plot out your research. Plan out the process of your research by using the gap filling brainstorming technique. To do this, identify where you are starting from in terms of your knowledge and resources (i.e. Point A), and identify where you want to go with your project (Point B). Make a list of all of the things missing between Point A and Point B and make a plan for filling in this gap.
For instance, if Point A is starting a project about electric cars with limited knowledge on the topic, and Point B is completing a PowerPoint presentation about them, you can fill the gap by conducting research (online and in a library), outlining the history, technology, and possible future of electric cars,  and procuring pictures and news articles about them."
jjehmesx,"Mindful breathing has been proven to lessen impulsive behaviors. A UCLA research study showed that a yoga-based breathing program called Sudarshan Kriya resulted in a significant decrease of impulsive behaviors among teens. The breathing exercises include four basic types of breathing:
Ujjayi or “Victorious Breath”, which is a type of slow, intentional breathing where focus is on the breath touching the throat.
Bhastrika or “Bellows Breath,” in which breath is exhaled forcefully through nostrils, followed by a rapid inhale, at the rate of 30 breaths per minute.
Chanting “Om” 3 times in a row, which requires sustained, controlled expiration.
Breathing in a rhythmic pattern, whether slow, medium or fast."
mbemryrx,"Confront your friend about the abuse.  Oftentimes, abusive friends are unaware they are being abusive.  Perhaps they are just having an off day or made a rude comment without thinking about it.  In these cases, or when your friend is only rarely abusive, you can try to reason with them.  
If you want to meet the friend in person, bring another friend who has been apprised of the situation with you.  They will defend you and could act as mediator in the event that the abusive friend reacts badly.
You are not obligated to confront your abusive friend in person.  You could also write them an email or call them on the phone in order to have a conversation about why you don’t appreciate their abuse.
Draw attention to their negative behavior by using “I” statements such as “I do not like being called stupid.”  Avoid accusatory “you” statements in the form of “You always call me stupid.”
Be polite but firm when telling your friend that you will not tolerate their abuse.  Say, “I treat you with respect, and I expect the same.”
Be as serious as possible.  Smiling or laughing about their abuse will send the message that you are not very upset by their behavior. Refocus the conversation on them.  Abusive friends habitually point out how wrong or inadequate you are.  They communicate in abusive or domineering ways, and make you the center of the conversation.  Responding to this type of communication can be difficult.  The best way to take back control of the conversation is to focus on their abusive behavior or speech instead of any shortcomings that they perceive in you.  
Ask questions that could lead them to rethink their abusive approach.  If your friend calls you names or bullies you, tell them, “Please do not call me names.  Don’t I deserve the same level of respect I give you?”
You could also say to your friend, “If you continue to speak to me without regard for my feelings, I am going to leave.  Is that what you want?” Be honest about your feelings.  You might feel hurt or angry.  That’s okay!  As long as you express your feelings in a positive, healthy way, there’s no reason not to feel a certain way.  Don’t hide your emotions or pretend you aren’t bothered by your abusive friend’s behavior.
Tell your abusive friend, “I don’t like the way you’re talking to me,” or “The things you’re saying are very hurtful.”
Share your feelings about your abusive friend with other family and friends, too.  They might be more willing to listen to you than the abusive friend is. Use humor to cope with your friend’s abuse.  Making a joke can make you feel better and might draw your friend’s attention to his or her abusive behavior without the awkward confrontation that might otherwise occur.  For instance, if your friend is criticizing you for being stupid and they just mentioned they failed a test, you could reply, “You just failed your math test, but I’m stupid?  Really?”
Humor can give you a feeling of greater control over the situation.
Use humor only in cases of mild abuse. Inform your friend of the consequences for serious abuse.  If you have a serious, long-term problem with an abusive friend, let them know what you intend to do in order to correct their behavior.  The types of consequences you enact will vary depending on the situation.
If you work alongside your abusive friend, tell them they need to cease their abuse or you’ll inform the human resources department or department manager of the abuse.
If dealing with an abusive friend at school, tell them you’ll get your teacher or principal involved unless they stop abusing you.
If dealing with a friend who won’t stop harassing you online, tell them you intend to block them and will contact the forum or website administrator to have their abusive content removed."
ngthytvs,"Think about why you want to discipline yourself. Is there a particular goal you're trying to achieve but you feel certain obstacles are getting in the way?  Maybe you want to become an early riser, but have a habit of sleeping really late.  Maybe your once-stellar musical skills are deteriorating because of lack of practice. Or perhaps you're trying to lose weight, but don't like to exercise. Set some time aside to think through this so that you can narrow down your goal-setting. Visualize your goal. Visualization is key to successful goal-setting. For one, you must think clearly about your goals and clarify what they look like. Then, you must surround yourself - either physically or mentally - with these goals.
One specific form of visualization that has been shown to be very effective at helping you reach goals is called process simulation. This tactic involves envisioning yourself taking the necessary steps to accomplish a goal, rather than just imagining the end result.
Other ways to practice visualization can be done through daily meditation or by creating a vision board of your goals. Create an action plan. This can be done in table form, either by hand or by using a PC package such as MS Word or Excel.  Don't worry about filling it in at this point. That's next! Consider adding a relevant goal title at the top of this form, such as Workout Regularly. After doing that add the following column headings in sequence:
Action
Time to Begin
Potential Problems
Strategies to Overcome Potential Problems
Progress Report
Once done, fill in the column boxes under the appropriate headings. Prepare to take action and decide when to begin. Actions will be the steps you must attempt to work towards your goal. After you come up with some meaningful action steps. think of a time to start your new self-discipline goal.
Your action steps could be anything from limiting time spent on unproductive activities that keep you from completing your workout, or making sure your gym clothes are already laid out the night before.
If thinking of ideas is something you are finding difficult, brainstorming is a helpful technique for this. You might also find that asking a family relative, friend or someone else you know useful. It's likely that you will think of multiple actions, for which you will need to include multiple rows. Take as much time as you need, and include everything you can think of.
You might plan to start today, tomorrow or a later time in the week/month. Keep your plan realistic by taking into account any time restrictions. For example, if the action happens to be ""Work out each day at 6am"" you are unlikely to find it helpful to work towards this goal today if it's already afternoon by the time you've thought of it. Anticipate potential problems and strategize to overcome them. Consider any difficulties that are likely to occur with the action steps in your plan and devise a plan to handle them as they happen. For example, if you decided to pick the ""Work out each day at 6am"" action but know it's a pretty sure thing that when the alarm goes off you're only going to press the ""snooze"" button and give in to the temptation to doze off again then you could jot down something like ""I'll just fall asleep again"" .
Alternatively, you can think of solutions which have worked well at some stage in the past. However, if you know deep down something is highly unlikely to work as a strategy from past experience (for example, promising yourself you will talk yourself into getting up early next time when this has already failed on a number of occasions) - discard the idea.
By trying to re-use methods which already have not worked, you're setting yourself up for disappointment.  Move on to other ideas. For instance, it's possible that setting your alarm clock some distance away from where you sleep could be more successful in waking you up as it takes more effort to switch it off. Update your progress report regularly and review the plan. Start your actions and implement your decided problem solving strategies at the planned times. When carrying them out, make a note of the date and whether or not the result was successful. Once the time period for your plan elapses, look through the progress comments you logged during that time.
When reviewing your plan think about what parts went well and what didn't go so well. For the things that didn't go well, ask yourself if there is anything useful you can learn from the experience(s) to move you towards your goals and incorporate this into your plan for next time.
If you have not learned anything useful from the experience, drop the current strategy and try an alternative.  Return to the earlier suggested methods and think up new ideas, if you are struggling with this. Reframe your mistakes. Even if you totally bombed your first attempt, it's worth it to keep pushing towards reaching your goal of becoming more self-disciplined. But, growing will require reframing mistakes into learning opportunities. Just don't give up!
Researchers found that there are two potential brain responses to making mistakes: immediately strive to problem-solve or shut down. People who pay attention to their mistakes are more likely to learn new ways of correcting them in the future. People who overlook (i.e. or shut down neurologically) their mistakes do not change or improve them. Be sure to look closely at where you're lacking and think of how you can improve in the future."
dkbcflnc,"Complete your education. At the very least, earn a high school diploma or GED. If you can, however, consider going for a college Associates or Bachelors degree. This will improve your chances at landing a well-paying job that you enjoy. Afterwards, you can even go back to college and earn a Masters or PhD degree. This will improve your chances of landing that job.
Find something you love to stick with in school, and this will likely give you a purpose in your adult life. Get a job. Diligently search online job hunting sites, newspaper classifieds, or get to know people in your field that might have job opportunities for you to start earning a paycheck. Once you have a job, get to work on time every day, do your work consistently, and find opportunities to learn; this will show your worth as a responsible employee.
Submit quality cover letters and resumes that show your education and experience when applying to jobs.
Don’t forget to ask questions in job interviews, and research the company ahead of time. Become financially independent. Get a job with a consistent and large enough paycheck to cover all of your expenses, and don’t rely on parents or others to provide for your bills, spending money, or other finances.
You may have to cut back on a few luxuries at first, such as going out every Saturday night, until you earn a higher wage.
Learn how to budget your expenses. This will help make you more financially independent. Get health, vehicle, and renters/homeowners insurance. When you’re of age, research and choose an insurance company for your health insurance and start paying premiums. If you have or plan to get a car, house, or apartment, you need insurance to cover those things, too.
Insurance is important because it will help keep costs down in the case of emergencies.
In some instances, you may not be able to own a car or rent an apartment without insurance. Find an apartment/house of your own. Find an apartment or house to rent or buy by searching online, in newspaper classifieds, or at an apartment finder service. You should find something that charges reasonable rent and that’s in a condition and area that makes you feel safe and healthy. Ideally, choose something that is close to work and other activities, and that you can afford to live in without roommates.
Keep in mind that you often get what you pay for. If something is cheap, make sure that it's not a scam and that the surrounding area is safe. Have reliable transportation. Depending on what town or city you live in, buy a vehicle or find public transportation routes that you can easily use. You can find less expensive used cars at used car dealers, online, or in newspaper classifieds. You can often buy bus, train, or subway passes for less when you buy them for frequent use over long periods of time.
If you plan on taking public transportation to work, check with your employer so see if they cover monthly passes; some employers offer that as a benefit. Travel the country or world. Save money and plan to travel to new places in order to experience new things, people, and ways of life. Seek committed relationships. Focus on committing to both friendships and romantic relationships that you see as lasting, with people that are also mature, responsible, and kind to you. Don’t waste time on flings or with people you know won’t last, and cut out anyone that brings out the worst in you.
Keep in mind that not all relationships will work out. If a relationship starts to turn toxic, cut it off; don't let it drag on. Take responsibility for your actions. Recognize that everything you do has a consequence, and you are in control of the outcome of your life through your own words and actions. See that both good and bad actions, and their outcomes, are your choice.
For example, if you want to get into a great college or university, you have to do well in school.
Alternatively, if you talked back to that former boss of yours, you won't be able to use him/her as a reference for a job you really want."
hvqombiu,"Ask for more responsibilities. There's a lot to do around a house. Garbage needs to be taken out, dinner needs to be prepared, the floors need to be swept and cleaned. If you want to be a more mature member of your family, ask for more responsibilities and take them really seriously. Do your best work and take pride when you finish.
If you have a pet, you should be in charge of the pet, not one of your parents. If you have a dog, you need to clean up after the dog, walk the dog, and feed the dog. Not just today, but every day.
Talk to your parents about an allowance if necessary, but focus on doing the jobs first, not getting the money. The more you make it about helping out, the more likely you are to get a good allowance.
Ask your parents if you'll be allowed to get a house key. This can be a big step for a lot of kids in becoming more grown-up. As you get older, you may ask for more responsibilities, like getting a part-time job, a car, and doing more things by yourself. Volunteer to help with chores. Most kids want to avoid chores at all costs. Mature kids know that chores are things that have to be done, even if they're not fun. Help out your parents whenever you can by volunteering for chores, to make life a little easier for them. This will make you seem very grown-up.
Help with yard work in the spring and summertime, or help rake leaves in the fall when they're on the ground.  You can also shovel the driveway if there is snow during the winter months.
Keep your room as clean as possible. Tidy up after yourself when you make a mess. Keep your toys and school supplies clean, and in their proper place.
Bonus: Help clean up other people's messes as well. If you help pick up after your sibling instead of whining about it to your parents, that will seem very mature. Listen to your parents. Mature kids respect their parents, which means they will be treated with respect. Immature kids whine and complain, making their parents' jobs much more difficult. If you want to act more mature, listen to what your parents say. Listen even when you don't like it, and then do what you're told.
Be honest with your parents as much as possible. If you don't think it's right that you should have to clean your room on a Saturday, tell them so. But don't whine and cry about it like a little kid. Write out your reasons. Tell them clearly.
Never make your parents ask you to do something more than once. If you're acting up and they tell you to be quiet, be quiet. Immature kids are unable to control themselves, but mature kids are. Stay calm when something goes wrong. Some little kids will fall to pieces whenever they don't get their way. Maturity means being able to accept bad news and take it in stride.
If your parents tell you that you can't go somewhere or do something specific, calm down. Don't yell, but speak honestly. Say, ""I'm disappointed, but that's okay. Thanks anyway."" Often, maturity like this can even get parents to change their minds.
If you get into a fight with a sibling, relax and take a few deep breaths. Don't overreact. Act like nothing bothers you and stay cool. This will take all the wind out of your sibling's sails. Be nice to younger siblings. Just because you're older doesn't necessarily mean you're more mature. If you want to act your age or act older than you are, then make a point of being nice and looking out for your younger brothers and sisters.
If your younger siblings don't know something, don't make fun of them for it. Show them how to play a game correctly, or how to do their chores the right way.
If you have older siblings, don't let them bait you into throwing fits. Sometimes, older kids like to pick on younger kids to try to get a rise out of them. When they provoke you, say something like, ""That's kind of immature."" Your older siblings will be shocked. Speak quietly and clearly. No whining, shouting, or baby-talking. If you're going to act like a grown-up, speak like one. Use a clear, firm voice when you have something to say. If you don't have anything to say, just be quiet.
Slow down when you're speaking, and think about what you say. Kids tend to talk very quickly and stumble over their words. Make sure to pronounce the words correctly, and learn how to say words that you're not sure about.
If someone is in another room, stand up and walk into that room to speak to them. Don't shout between rooms. Use mature table manners. Even if it's just a basic weeknight meal, it's important to sit still and be quiet during dinner time unless you are involved in a conversation. Dinner time conversation should involve everyone at the table.  Thank your parents, or whoever provided the meal, and eat it all. Wait until everyone is finished eating before you leave the table, or ask to be excused if you're finished.
Sit up straight at the table and put a napkin on your lap. Chew with your mouth closed, and put your utensils down between bites of food.
When dinner is over, offer to help clean the dishes. Before dinner, offer to help set the table, or do other simple tasks."
abfcqxzy,"Consider when the jealous comments are made. When your friend makes a critical or harmful remark, pause and think about what possibly triggered their spiteful comment. Were you telling them about something good that is happening to you? Did you just share your plans for the future? Had they just come from spending time with other people? After a few days or weeks, you will start to notice a pattern. Recognizing this pattern may help you know how to steer a conversation and or reveal your friend's insecurities.
If your friend always makes jealous, spiteful comments while hanging out in a group, they may put you down in an effort to bolster their waning self-confidence.
If your friend always makes envious remarks after you've shared plans with for your future, they may feel like their future isn't as promising as yours. Evaluate the content of their envious comments. Jealous comments reveal a lot about the person making the invidious statement. These comments, while directed at you, aren't necessarily about you. Think about content of the comments. What do they reveal about your friend's point of view and sense of self? Is your friend always telling you that you're not good at something? Do they frequently make fun of your appearance?
If your friend is super critical of your possessions, they may be struggling to define their identity outside of their possessions and finances.
If your friend makes negative comments about your success, they may be jealous about the opportunities you are receiving or envious of your talents.
If your friend constantly critiques your appearance, they may feel insecure about their own physical appearance. Speculate about what your friend is trying to achieve. Jealous comments usually serve a dual purpose. First and foremost, these remarks are meant to make you feel bad about yourself. You should also consider that your friend may be mad at you, building herself up by cutting you down, or trying to manipulate you. There is also the possibility that your friend treats everyone they encounter in this manner.
Your friend could be mad at you for numerous reasons, petty or otherwise. Is there a reason your friend might be angry with you? Did you recently fight? Did you forget to call them back? Were you gossiping about them?
In order to diminish and distract from our own faults, insecurities, or fears, we have a tendency to point out other's failings. Is your friend struggling with self-confidence or body image issues? Are they feeling unsure about their future?
Cutting someone down can make a person feel more powerful and confident. Does your friend thrive on feeling superior and in charge? Differentiate between jealousy, negativity, and depression. Humans are complex beings. Our emotional, mental, and physical health are interconnected and inform our mood, actions, and words. While you may perceive your friend's comments as jealous statements, there may be more to their envious quips than meets the eye. Instead of writing your friend off as jealous and petty, ask your friend how they are doing.
Some people struggle to manage their negative thoughts. If your friend is constantly comparing themselves to you, they may caught in a cycle of self-doubt and self-loathing. Their seemingly jealous remarks are making them feel worse instead of better about themselves.
Recent studies suggest that individuals struggling with depression have a difficult time distinguishing between negative emotions. If they truly are envious of you, they may not identify their actions or comments as such; if they are angry or sad, these emotions may manifest as jealousy."
stvzoeju,"Be direct. If you suspect you’re being manipulated, don’t get baited into a pointless charade. Give your friend a chance to clear the air by asking them what they want without mincing words. A good friend will be honest—a scheming one will try to rationalize everything they say in an effort to stay in control.
Avoid playing head games. They're a waste of time, and the longer they go on, the more leverage an experienced manipulator will have to get you to do their bidding.
It’s usually a bad sign when someone isn’t willing to reveal their true thoughts or intentions.
Sometimes, even just being silent after a person tries to manipulate you can speak volumes. Keep a level head. Try not to take your friend's tactics personally. Respond calmly to their backhanded jabs or efforts to influence you. Feeling like you're being manipulated is enough to make anyone upset, but if you allow things to get heated, they'll just blow up into an even bigger issue. By maintaining your poise, you'll be more prepared to handle the situation productively.
Making you angry might even be part of their plan, since it affects your ability to reason.
Delay a confrontation until you've had time to cool off. Learn to say “no” without feeling guilty about it. Don’t give in to their self-centered demands—set firm boundaries. No matter how close you and your friend are, you’re not obligated to do anything that goes against your conscience or makes you feel uncomfortable. Once you get used to saying no, you'll shift the balance of power in the relationship back toward the center.
You don’t have to justify yourself or offer excuses. Simply say “I’m sorry, I can’t” and be firm.
There may be times when a friend, even a manipulative one, needs your help. Use your best judgment to decide when you’re doing the right thing and when you’re getting played. Stick up for yourself. People with manipulative personalities prey on low self-esteem. Speaking up when you feel challenged will send the message that you’re not going to be pushed around. As long as you have confidence, you won’t feel pressured to be something that you’re not.
For instance, if you know someone who constantly ridicules your fashion sense to make themselves look better, you could respond by simply saying “I like the way I dress.”
By going out of your way to accommodate a critical companion, you’ll only be doing their bidding. Do what’s best for you. There’s a big difference between taking advice and taking orders. Don’t be afraid to tell meddlesome mates to butt out if they make a habit of interfering in your business. At the end of the day, you’re the only one who can make decisions on your own behalf.
A true friend may not always like the other people you hang out with or approve of the guy or girl you’re dating, but they’ll never try to tell you that you shouldn’t see them.
Spend some time reflecting on your personal values and limits. What are you OK with? What goes too far? This can help you establish boundaries with your friend."
uxzihlfn,"Measure the quality of your relationships. Friendships take more effort to maintain as you age. You may find your social networks becoming wider, yet you may not have as many close, tight-knit relationships.
 You may have a few friends you’ve known all your life as well as some dedicated new friends from different points in your life. Look at how long your current relationships have lasted — both romantic and non-romantic.
Have you been able to maintain quality relationships for a long time?
Are you able to get through difficult periods and keep your friends around?
Have you had long-term, stable romantic partnerships?
If you said yes to any of these questions, you may be managing grown-up relationships. Reflect on your conflict resolution skills. Even the most mature adults get into arguments. How you handle the argument is more telling than what started it. Grown-ups know how to respect each other’s differences. They remain calm during tense situations. They can agree to disagree or compromise to find a solution. They also know when to apologize and forgive without holding grudges.
Keep in mind that there is a difference between being mature and passive. Just because you never fight back does not necessarily mean that you have grown up. Think about what you look for in a romantic relationship. When you're young and immature, it's all about the chemistry and fireworks. As you grow older, you may look for a partner who is as much compatible as they are exciting. Ask yourself the following questions. If you answer yes, you may be involved in a mature relationship.
Do you and your partner work through your problems? Do you apologize to one another? Can you forgive each other during arguments?
Do you and your partner make compromises? Do you accommodate their needs? Do they accommodate yours?
Do you and your partner respect each other’s boundaries? Are you both able to have separate social lives, hobbies, interests, and jobs without becoming jealous or controlling? Imagine your perfect social gathering. Where does it take place? How many people are there? What are you doing? When you were younger, you may have wanted loud, crowded parties at clubs or bars. As you grow older, you may find yourself seeking quieter time with your friends. Sometimes, you might still want that big party. Generally, however, you may find that hosting dinner and game night at your home is more entertaining.
If socializing and chatting is more important to you than partying hard and getting drunk, then this is a good indicator that you are growing up. Consider how you relate to children. As you grow up, you begin to separate yourself more and more from the younger generation. You may dislike their taste in music, clothes, or entertainment. You may find yourself disapproving of their choices in life. You may think that they are badly behaved compared to your generation. You may also might appreciate their innocence, play, humor, and freedom from responsibility that is often lost in adulthood. This shows that you are creating a difference between yourself, as an adult, and children. 
If you have children, you may start worrying about their future. Children often force people to grow up quickly, no matter how old they are. You may be more aware of how your  decisions affect their life, their behavior, and their future. Your decisions will start to include their welfare as well as your own."
bayuyokd,"Define the project's purpose. A project management report should outline the project's scope and end goal. Understanding the objective is key to comprehending the needs that this project hopes to meet. It is important for you and your audience to have a clear notion of the project's purpose to maximize the effectiveness of your report.
Ask yourself, “How will this help my company, our client, or our community? Will this project possibly have a positive impact in other areas?”
Understanding the overall scope may help you appreciate how this project may be useful to you and others. Pinpoint your audience. Know who will be reading the report and what they may wish to learn from it. Some details may be extraneous to certain audiences, while others may need to be provided with detailed information. Identifying your readers at the outset will provide direction for the project report content.
Some audiences may not be familiar with the language, terms, and jargon often used in your working environment.
If you are writing a report for a client, for example, avoid using technical jargon that requires lengthy explanations.
Instead, plan to write in a voice that easily describes your project scope and timeline. Create a table of contents. A table of contents essentially provides an easy-to-read outline for your audience. At a quick glance, a reader can quickly understand the structure and substance of the document. A table of contents can also help busy readers find the information that is significant to them quickly and effectively.
Perhaps an investor is reading the report to review the budget. Showing where the budget is in the table of contents will help them find what they need fast. Talk to your supervisor. Have a meeting with your supervisor to understand the expectations of your project management report. Your supervisor may have particular points of interest, concerns, or details that they would like for you to include in the report. Try to collect as much useful information as you can to help make your report clear and useful.
Your supervisor may also explain how long the report should be and if there are particular formats that your company requires for these types of reports.
Ask your supervisor about what to include in the report. Your supervisor will appreciate the opportunity to give you feedback early in the process."
lzjmkdxb,"Think through your decisions so you don’t act impulsively. Whenever you’re given multiple choices, take a moment to consider each of the options. Make a mental list of the pros and cons of each choice and think about what you’re trying to achieve from your decision. Consider all of the actions you can take rather than settling for one that’s easier. Once you think over all of the choices you can make, choose the one that's most beneficial to the end goal you want to reach.
If you aren’t sure what option to choose, ask someone that you trust to see if they can offer any advice.
It’s okay to make spontaneous decisions every so often, such as hanging out with friends when they ask you if you aren’t busy or eating at a restaurant instead of cooking a meal.
Be firm in your decisions so you seem more reliable and don’t fall victim to peer pressure. Work on controlling your anger or frustration so you don’t act out. When you feel angry or frustrated, try taking a few deep breaths to calm yourself down so you don’t yell or get argumentative. If you need to get some space, try walking away for a few minutes to clear your head and look at the situation with fresh eyes. When you need to address someone or something that makes you angry, talk through what you’re feeling without raising your voice.
Realize that it’s okay to feel angry or frustrated, but it’s not okay to act out because of it. State your feelings rather than bottling them up and keeping them to yourself.Tip: Try writing down your feelings in a journal to work through them more. Include what made you angry, how you reacted, and how you felt afterward. Take responsibility for your actions if you make a mistake. Don’t let other people take the blame for your actions. If you did something wrong or made a mistake, tell the people it affected and apologize sincerely for your actions. Ask the people for forgiveness and see if there’s anything you can do to fix the problem. While there may still be consequences, other people will view you as trustworthy and mature.
For example, you could say, “I’m sorry that I knocked over and broke your vase. Will you please forgive me? Would you like me to buy you a replacement?”
Avoid lying to other people since people won’t be able to trust you as easily. Stay positive and optimistic to help you through hard times. Rather than focusing on the bad or negative qualities of something, try to focus on the positive aspects. Reframe bad experiences you’ve had to think about what you’ve learned from it and what you can apply it in the future. If you have trouble staying positive, try making a list of things that make you happy or events you’re looking forward to so you can cheer up.
For example, if you fail a test, you may be upset because you didn’t do well. Instead, focus on what you can do to improve your score on the next, such as studying more or reading things more carefully.
Having a negative attitude can make other people think you’re immature and not want to spend time with you.
Failure is a regular part of life, so it’s okay for it to happen every so often. Keep an open mind so you don’t judge others. If someone says something you disagree with or are confused by, ask questions about it rather than judging them for their choices. Try to see things from their point of view so you can get a better understanding of them. In addition to that, push yourself to do things that are out of your comfort zone so you can experience new things and learn about new things.
Learning new skills or picking up a new hobby can help you broaden your horizons even more.
Do things that are out of your comfort zone so you can learn and grow more mature.
Try to surround yourself with people who have different backgrounds and viewpoints. Act humble so you don’t seem jealous of other people. Avoid trying to one-up other people or showing off since it can make you seem self-centered. Keep any jealous feelings you have to yourself rather than vocalizing them. Try to recognize things that you have or have earned so you can feel more proud about yourself and what you’ve accomplished.
Don’t try to actively seek attention since it can make it look like you’re trying too hard to be mature."
tajcptfn,"Understand the top-down approach to project budgeting. There are two approaches to creating a project budget. The first is known as the top-down approach, and this refers to projects where the total allowable cost is known before the project begins. The project budget must therefore be within those costs.
For example, assume you own a construction business, and a large organization approaches you to see if you can enlarge their parking lot. They may tell you that they have $500,000 to allocate to the project, at which point you need to decide if you can do it or not. 
In the top-down situation, you would need to create a budget that costs less than $500,000. Understand the bottom-up approach to project budgeting. The bottom-up approach is the alternative to the top-down approach, and this refers to figuring out what every part of the project will cost, and then adding it up to determine the total. 
If a customer approaches you to re-build a parking lot, and asks for a quote, you could use a bottom-up approach. You would consider everything that is necessary for the project, and then determine the total cost.
In this case, you determine the cost of the project by figuring out what every piece will cost and then calculating a total. In the top-down approach, the cost is determined by available resources, and you must work within those limits. Choose the approach for you. Sometimes, you may not have a choice, and you may need to work within the confines of somebody else's budget (meaning you would need to use a top-down approach). Other times, if you have full control over a project, you can select an approach.
The advantage of the top-down approach is that it ensures a project is completed within available resources. If your organization has $1 million to spend on projects for a year, you can state that the new parking lot construction project must be done for under $500,000. These limitations can lead to efficiencies and the reduction of waste.
This approach is useful if you have limited resources. Similarly, if you are running a project, it allows you to dictate to all the parties involved how much they are allowed to spend. This can keep costs down because each party will not be creating their own budgets.
The bottom-up approach is useful because it can be very accurate. Without any immediate limit, you, or your employees can cost the project based on what the project needs. If you are constructing a new parking lot, you may task each member of your team to come up with the budget they need. The major con is this approach can lead to run-ups in cost. Discuss the needs of the project with key stakeholders. Regardless of the approach you choose, you will need to discuss what the project will require with key project members. Knowing the needs of the project can allow you to determine what the costs of the project will be. This is called the ""scope"" of the project and it defines the requirements and limits of the work to be performed.
For example, assume you have been approached to construct a parking lot for a large organization, and they have allowed you to cost the project (or provide an estimate). Your first step will be to discuss with them what their needs are, and what their timelines are.
They may say they need a new lot with 100 spaces be constructed within three months. You may then survey the site to realize that you will need to cut down trees, blast rock, and then construct the new lot.
From this, you can determine you will need planners to design the lot, people to blast and cut down trees, and construction workers to build the lot."
zkcxlkrt,"Every day we're faced with countless decisions. In these moments we have to make the right choice - the safest, most comfortable choice. 
Imagine yourself in bed and your alarm clock goes off, and you have to get ready for school. Whether you're home schooled or not, just imagine yourself in that particular situation. Would you smack the snooze button and wish for another day, or would you get up, despite the sleepiness, and groom yourself for school? Decisions like this are complicated ones, and take discipline to complete."
xoefdyhn,"Create a communication system. Communication is important between you and your parents to clarify when you need privacy or space. A simple, predetermined signal can denote when someone needs a moment of breathing room.
You might say something like “I am feeling overwhelmed and need some privacy.” This will communicate to them what you are feeling and what they can do to help you feel better. Respect your parents' privacy. You should maintain your parents' privacy by being respectful of their boundaries. Follow their lead, if in doubt. For example, if their bedroom door is kept closed, keep yours closed as well. Although you are welcome at your parents' home, by inviting you to live with them, they are losing quiet moments and personal space that they once had to themselves.
Make a concerted effort to preserve their quiet, undisturbed moments and use them as an opportunity to have your own as well. Let your parents know your plans. Since you're an adult, you will want to go out with friends sometimes and might even stay out late. It will be helpful to establish with your parents that you will text them to let them know you will be out, and communicate with them beforehand to tell them about any plans you may have. Discuss potential houseguests in advance. It will be helpful to discuss potential friends you might invite over beforehand to avoid any conflict. While living in your parent's home, ensure that you, and anyone you invite into the home, abide by the rules of the house. Create a space for yourself. Whether it's your room, or an office/work area, it is helpful to have a space that is your own. Let your parents know that you'd like this area to be private and that you would prefer to be left alone in this space. Set a firm date to move out of your parent's home and stick to it. Pick a reasonable date to leave the house, even if selected arbitrarily, and let your parents know when you intend to leave. Follow your budget and build your confidence and skills while in your parents home, keeping the date that you chose in mind as a motivator."
